cfb_td,cfb_yards,cfb_receptions,cfb_plays,cfb_yards_per_play,cfb_games,cfb_conference,cfb_class,combine_wt,combine_cone,combine_vertical,combine_broadjump,combine_forty,combine_draft_age
25.0,1791.0,98.0,100.0,17.9,40.0,SEC,JR,188.0,,42.0,131.0,4.27,21
26.0,2743.0,159.0,160.0,17.1,36.0,SEC,JR,193.0,,35.0,120.0,4.45,21
33.0,3312.0,173.0,182.0,18.2,40.0,Big 12,JR,198.0,,34.5,124.0,4.5,21
24.0,2572.0,148.0,183.0,14.1,39.0,Big 12,JR,206.0,7.31,42.0,138.0,4.47,21
24.0,2445.0,165.0,171.0,14.3,30.0,SEC,JR,202.0,,37.5,126.0,4.43,21
11.0,1672.0,98.0,99.0,16.9,25.0,Pac-12,SR,205.0,,40.0,128.0,4.5,22
28.0,2484.0,135.0,136.0,18.3,37.0,ACC,JR,216.0,,,,,21
19.0,2528.0,171.0,172.0,14.7,41.0,Pac-12,SR,223.0,6.96,36.5,121.0,4.52,22
17.0,2223.0,149.0,191.0,11.6,27.0,Pac-12,JR,227.0,,,,4.58,21
14.0,1745.0,98.0,115.0,15.2,26.0,Big Ten,SO,178.0,,,,,21
19.0,2165.0,150.0,153.0,14.2,45.0,Ind,SR,238.0,,40.5,126.0,4.42,22
16.0,2206.0,175.0,181.0,12.2,45.0,SEC,SR,200.0,,,,,24
28.0,2919.0,186.0,187.0,15.6,40.0,Big 12,SR,207.0,6.66,38.5,131.0,4.38,22
19.0,2833.0,114.0,320.0,8.9,38.0,SEC,JR,204.0,,,,,22
22.0,3086.0,234.0,240.0,12.9,48.0,SEC,SR,212.0,,,,,21
17.0,2502.0,176.0,187.0,13.4,45.0,Big 12,SR,200.0,7.13,35.5,123.0,4.39,22
23.0,2447.0,152.0,152.0,16.1,34.0,American,JR,216.0,7.08,35.0,124.0,4.54,21
20.0,2433.0,150.0,150.0,16.2,24.0,Ind,SR,223.0,7.33,36.0,127.0,4.6,22
17.0,1637.0,129.0,163.0,10.0,47.0,ACC,SR,224.0,,38.0,123.0,4.47,22
33.0,3304.0,213.0,214.0,15.4,43.0,Big Ten,SR,206.0,,,,,22
15.0,2617.0,188.0,188.0,13.9,42.0,Big 12,SR,222.0,,,,,22
13.0,1542.0,93.0,102.0,15.1,30.0,Big Ten,,202.0,7.2,38.5,124.0,4.73,22
16.0,1764.0,82.0,106.0,16.6,23.0,MWC,SR,189.0,7.07,38.5,122.0,4.43,24
,,,,,,,,198.0,7.28,36.0,121.0,4.45,0
19.0,2600.0,154.0,159.0,16.4,46.0,American,SR,176.0,,37.0,124.0,4.38,22
18.0,2090.0,146.0,160.0,13.1,46.0,ACC,SR,203.0,7.0,37.5,123.0,4.48,23
14.0,1414.0,103.0,112.0,12.6,37.0,Big Ten,JR,212.0,,44.5,139.0,4.48,21
17.0,2416.0,159.0,164.0,14.7,34.0,CUSA,JR,185.0,7.28,36.5,125.0,4.35,0
39.0,3999.0,301.0,311.0,12.9,49.0,American,SR,201.0,7.27,34.5,,,23
20.0,2322.0,176.0,176.0,13.2,34.0,Pac-12,JR,210.0,7.01,36.5,124.0,4.61,0
13.0,1976.0,156.0,156.0,12.7,36.0,Pac-12,SR,225.0,7.28,36.0,132.0,4.48,22
15.0,1023.0,68.0,72.0,14.2,37.0,SEC,SR,197.0,7.05,36.5,124.0,4.46,22
19.0,2246.0,146.0,171.0,13.1,48.0,SEC,SR,215.0,,29.0,119.0,4.72,0
20.0,2331.0,201.0,205.0,11.4,50.0,Big Ten,SR,196.0,,32.5,114.0,4.6,22
8.0,1277.0,79.0,81.0,15.8,40.0,SEC,SR,209.0,,39.5,126.0,4.46,22
